objectid,temp sort,Note,Christin Newell,title,title,series,date_first_issued,date,date_text,creator,signature,seal,description,misc,publisher,carver,printer,Author (cew new),Editor (cew new),publication_date_messy,impression_quality,colors,condition,genre,format_print,size_image,size_sheet,lit//ref lit,collections,catalog,catalog_altform,catalog_2_orig_ref,location,latitude,longitude,type,format,filename,image_thumb,image_small,artistid (temporarily using for notes-cew),print_link,Notes
ihl-0001,,,CN Complete,"Snow at Hi Marsh, Mito (水戸 涸沼の雪 Mito hinuma no yuki)","Snow at Hi Marsh, Mito (水戸 涸沼の雪 Mito hinuma no yuki)",,1947,1947,1947 original date of publication. This print published between 1989 and 1998 based on the publisher seals. ,"Kawase Hasui 川瀬巴水
(1883-1957)",巴水 Hasui ,Kawase stylized seal,"Hasui presents us with a lone fisherman wearing a mino 蓑 (straw cape) and sedge hat slowly walking along on a spit of land in Hanuma Lake, as snow falls gently around him. A partially seen wooden canoe-like boat may have taken him to this cold, isolated and serene location. His fishing rod may be a “hinuma-sao” used by fisherman on the lake since the Edo period. 
",,"Watanabe Shōzaburō (Watanabe Mokuhan Bijutsu Gahō): Two publisher seals appear on this print, the Watanabe ""I-type"" circular 7mm diameter seal reading ワタナベ  Watanabe and in use from approximately 1957-present, and the Watanabe ""M-type"" Heisei seal reading わたなべ Watanabe in use from approximately 1989-present. [Marks: pub. ref. 576]",,,,,1947 (original publication),Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format horizontal ōban,H x W Image 9 1/2 x 14 1/4 in. (24.1 x 36.2 cm),H x W Paper 10 1/2 x 15 1/2 in. (26.7 x 39.4 cm),"Reference Literature Kawase Hasui: The Complete Woodblock Prints, Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 121, pl. 496; Kawase Hasui and His Contemporaries: The Shin Hanga (New Print) Movement in Landscape Art, Irwin J. Patcher, Everson Museum of Art, Syracuse, 1986, p. 75, pl. 94; Visions of Japan: Kawase Hasui's Masterpieces, Kendall H. Brown, Hotei Publishing, 2004, p. 121, pl. 85","Collections This Print Los Angeles County Museum of Art M.73.37.240 (6mm seal lower right corner); The National Museum of Modern Art, Tokyo P00138-129 (6mm seal lower right corner; titled Lake Hinuma, Mito in Snow)",IHL.0001,IHL.1,IHL Catalog #1,,,,Image;StillImage,image/jpeg,ihl_0001.jpg,/objects/thumbs/ihl_0001_th.jpg,objects/small/ihl_0001_sm.jpg,ihl_artist_059,"https://pages.uoregon.edu/jsmacollections/home/artists/kawase-hasui/snow-at-hi-marsh-mito.html
",
ihl-0002,,,CN Complete,"Honmon Temple, Ikegami (池上本門寺)","Honmon Temple, Ikegami (池上本門寺)",,1931-01,1931,"January 1931 original date of publication as printed in left margin 昭和六年一月作 (a work of Shōwa 6, 1st month). This print published between 1957 and 1999. A posthumous (atozuri) edition made from the original blocks, bearing the 7mm circular ""I-type"" seal printed in black in the lower left of image.","Kawase Hasui 川瀬巴水
(1883-1957)",巴水 Hasui ,Kawase stylized seal,"Narazaki (Hasui's biographer) believes that “There are few unsuccessful snowscapes by Hasui and in this regard he equals Hiroshige (1797-1858). The treatment of the faint, distant snow-covered mountains, the centrally positioned pine, which heightens the sentiment of the piece; and the path leading to the Honmon temple in the vicinity of the Rezan bridge has the feeling of a sketch.”",,"Watanabe Shōzaburō (Watanabe Mokuhan Bijutsu Gahō): Watanabe ""I-type"" seal (in use from approximately 1957-present) reading ワタナベ  (Watanabe). [Marks: pub. ref. 576]",,,,,"January 1931 original date of publication as printed in left margin 昭和六年一月作 a work of Shōwa 6, 1st month",Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format vertical ōban,H x W Image 14 1/4 x 9 1/2 in. (36.2 x 24.1 cm),H x W Paper 15 1/2 x 10 1/4 in. (39.4 x 26 cm),"Reference Literature Kawase Hasui: The Complete Woodblock Prints, Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 88, pl. 245; Visions of Japan: Kawase Hasui's Masterpieces, Kendall H. Brown, Hotei Publishing, 2004, p.78 pl. 42; Public Spectacles, Four Centuries of Japanese Prints from a Cincinnati Collection Personal Pleasures, Alan Hockley, Cincinnati Art Museum, 2006, p. 111, fig. 79.","Collections This Print  Los Angeles County Museum of Modern Art M73.37.103 (Watanabe circular seal in lower left margin); The National Museum of Modern Art Tokyo P00138-073 (Watanabe circular seal in lower left corner); Museum of Fine Arts, Boston 49.400 (type E seal); Jordan Schnitzer Museum of Art, University of Oregon MWJ51:K11 (type E seal)",IHL.0002,IHL.2,IHL Catalog #2,,,,Image;StillImage,image/jpeg,ihl-0002.jpg,thumbs/ihl-0002_th.jpg,thumbs/ihl-0002_sm.jpg,ihl_artist_059,https://www.myjapanesehanga.com/home/artists/kawase-hasui/honmon-temple-ikegami.html,
ihl-0003,,,CN Complete,Night at Shinobazu Pond (夜の池畔 不忍池 Yoro no chihan Shinobazunoike),Night at Shinobazu Pond (夜の池畔 不忍池 Yoro no chihan Shinobazunoike),,1932-04,1932,"1932 original date of publication as printed in the bottom of right margin (昭和七年四月作 a work of Shōwa 7, 4th month.) Originally published by Doi Sadaichi [Doi Teiichi] 土井英一 who was in business from 1930-1945. This edition carries the Doi Eiichi seal, son of Doi Sadaichi, who took over the business of his father in 1945, renaming it Doi Hangaten. The printer seal in the left margin indicates a likely publication date of this print between 1965 and 1995.","Kawase Hasui 川瀬巴水
(1883-1957)",巴水 Hasui ,Kawase stylized seal,"Shinobazu Pond dominates the southwestern side of Ueno. Today Shinobazu Pond is famous for lotuses.
The wife the publisher related, ""By the way, I remember a story my husband told me about Hasui. When Hasui made the drawings for the print Night at Shinobazu Pond, which Sadaichi had ordered from Hasui, it took him a long time and many attempts until we accepted the draft."" ",,"Doi Eiichi 土井貞一
firm name: Doi Hangaten 土井版画店
seal reading 版权所有 土井英一 (copyright Doi Eiichi)
[Marks: pub. ref. 037; seal ref. 26-056]",彫 ハラダ hori Harada, 摺 セキ suri Seki. (Seki worked for Doi from 1965 to 1995.),,,"1932 original 昭和七年四月作a work of Shōwa 7, 4th month",Impression excellent,Colors excellent,Condition excellent - penciled Japanese characters top margin,Genre shin hanga,Format horizontal ōban,H x W Image 11 x 15 3/4 in. (27.9 x 40 cm),H x W Paper 9 1/2 x 14 1/4 in. (24.1 x 36.2 cm),"Reference Literature Kawase Hasui: The Complete Woodblock Prints, Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 92, pl. 278; Hanga ni miru Tokyo no fukei; Kanto daishinsai kara senzen made, Ota Kuritsu Kyodo Hakubutsukan, 2002, pl. 209, p. 53.","Collections Los Angeles County Museum of Art M.2003.67.97 (notation of ""later edition""); Museum of Fine Arts, Boston 35.1886 (first edition); Virginia Museum of Fine Arts 2006.551",IHL.0003,IHL.3,IHL Catalog #3,,,,Image;StillImage,image/jpeg,ihl-0003.jpg,ihl-0003_th.jpg,ihl-0003_sm.jpg,ihl_artist_059,https://www.myjapanesehanga.com/home/artists/kawase-hasui/night-at-shiobazu-pond.html,
ihl-0004,,,CN Complete,Evening Rain in Kawarago (河原子の夜雨 Kawarago no yau),Evening Rain in Kawarago (河原子の夜雨 Kawarago no yau),,1947,1947,"Originally published in 1947. This print was likely published in 1947 as it bears the Watanabe 6mm round, ""A-type"" seal, printed in red in lower left corner of image. ","Kawase Hasui 川瀬巴水
(1883-1957)",巴水 Hasui ,Kawase stylized seal,"Depicting a street in Kawarago, a Japanese fishing village on the beach in Hitachi city, Ibaraki Prefecture in the northern Kanto region of Japan on a rainy evening.  This print exists in two different color states - one with a blue tint and, like this collection's print, another with a green tint. ",,"Watanabe Shōzaburō (Watanabe Mokuhan Bijutsu Gahō): This print bears the Watanabe ""A-type"" seal (in use from approximately 1918-1924 and 1945-1957) reading ワタナベ (Watanabe) [Marks: pub. ref. 576]",,,,,1947,Impression excellent,Colors excellent,Condition excellent - small scratch in boat image; five minor mounting remnants on verso,Genre shin hanga,Format vertical ōban,H x W Image 13 7/8 x 9 5/8 in. (35.2 x 24.4 cm),H x W Paper 15 x 10 3/8 in. (38.1 x 26.4 cm),"Reference Literature Kawase Hasui: The Complete Woodblock Prints, Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, ISBN: 9074822460, p.122, pl. 504; Kawase Hasui and His Contemporaries: The Shin Hanga (New Print) Movement in Landscape Art, Irwin J. Patcher, Everson Museum of Art, Syracuse, 1986, p. 77, pl. 95; Visions of Japan: Kawase Hasui's Masterpieces, Kendall H. Brown, Hotei Publishing, 2004, p. 123, pl. 87","Collections This Print Los Angeles County Museum of Modern Art M.73.37.234 (unspecified edition with no seal visible on print image); Museum of Fine Arts, Boston 50.2857 (unspecified edition with no seal visible on print image); The National Museum of Modern Art, Tokyo P00138-127 (unspecified edition with 6mm ""A"" type seal visible in lower right corner of print image.)",IHL.0004,IHL.4,IHL Catalog #4,,,,Image;StillImage,image/jpeg,ihl-0004.jpg,ihl-0004_th.jpg,ihl-0004_sm.jpg,ihl_artist_059,https://www.myjapanesehanga.com/home/artists/kawase-hasui/evening-rain-in-kawarago.html,
ihl-0005,,,CN Complete,Supper Wagon (屋台店 Yataimise),Supper Wagon (屋台店 Yataimise),Tokyo at Night (夜の東京 Yoru no Tokyo) (a ten print series),1938,1938,"originally 1938 昭和十三年 as printed in left margin. This collection's print is a later edition date unknown, but likely after the artist's death and before 2000.  Signature is stamped rather than signed in pencil, as are earlier editions.","Yoshida Tōshi 吉田遠志
(1911-1995)",Toshi Yoshida in English in bottom margin and 遠志 (Toshi) in lower right of image,吉田 Yoshida (in lower right of image),"This scene is one which even today can be seen in the streets of Shinjuku in Tokyo at night. Small booths, covered only by printed cotton curtains, sell bowls of soup or noodles, often at very low prices, to passers-by.  Among the foods advertised in this keenly observed print are sushi, udon (fat noodles in soup) and meat dishes.  A woman carries her child on her back in the traditional manner.  It is difficult to reconcile this scene with a nation mobilizing for an aggressive war in 1938.","Printed in left margin 昭和十三年 夜の東京 屋台店 (Shōwa 13, Tokyo at night, Supper wagon); ""Supper Waggon"" [sic] written in pencil on bottom margin.",Yoshida family studio,,,,,1938 original [昭和十三年 as printed in left margin],Impression excellent,Colors excellent,Condition excellent - mounted in archival mat and framed,Genre shin hanga,Format chūban,H x W Image 6 5/8 x 9 3/8 in. (16.8 x 23.8 cm),H x W Paper 7 1/2 x 10 1/2 in. (19.1 x 26.7 cm),"Reference Literature Shin-Hanga: New Prints in Modern Japan, Kendall Brown, Hollis Goodall-Cristante, Los Angeles County Museum of Art, 1996, p. 84, figure 114; The Japanese Print Since 1900: Old dreams and New Visions, Lawrence Smith, British Museum Publications Ltd, 1983, p. 90, pl 84 and p. 106.","Collections This Print  Ruth and Sherman Lee Institute for Japanese Art 2003.109 (edition unknown); The British Museum 1981,0225,0.3.a (edition unknown); Los Angeles County Museum of Modern Art M.2000.105.103 (unspecified edition); Art Gallery of Greater Victoria 2008.021.005 (unspecified edition)",IHL.0005,IHL.5,IHL Catalog #5,,,,Image;StillImage,image/jpeg,ihl-0005.jpg,ihl-0005_th.jpg,ihl-0005_sm.jpg,ihl_artist_246,https://pages.uoregon.edu/jsmacollections/home/artists/toshi-yoshida-1911-1995-/supper-wagon.html,
ihl-0006,,,CN Complete,Hazy Evening at Shinobazu Pond (霞む夕べ−不忍池畔 Kasumu yūbe Shinobazu chihan),Hazy Evening at Shinobazu Pond (霞む夕べ−不忍池畔 Kasumu yūbe Shinobazu chihan),,1932,1932,"Originally published 1932, Spring. This print a later edition (c. 1946-1957) with black circular 6 mm Watanabe ""A-type"" seal in from lower right hand corner of image.  ",Kasamatsu Shirō 笠松紫浪 (1898–1991),not signed,紫浪 Shirō,The last rays of the setting sun and the lamps on the edge of Ueno Park's Shinobazu Pond illuminate this quiet scene in one of the artist's best known works.,,"Watanabe Shōzaburō (Watanabe Mokuhan Bijutsu Gahō): This print bears the Watanabe ""A-type"" seal (in use from approximately 1918-1924 and 1945-1957) reading ワタナベ (Watanabe) [Marks: pub. ref. 576]",,,,,"originally published 1932, Spring",Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format vertical ōban,H x W Image 14 1/4 x 9 1/2 in. (36.2 x 23.8 cm),H x W Paper 15 1/4 x 10 1/4 in. (38.7 x 26 cm),"Reference Literature Catalogue Raisonné: W-06 as listed in Shiro Kasamatsu - The Complete Woodblock Prints, Dr. Andreas Gund, self-published by the author, 2001, Tokyo; The Changing City as Depicted in Modern Woodblock Prints - Tokyo in Transition, Edo-Tokyo Museum, 1996, p. 86; The Japanese Print Since 1900: Old Dreams and New Nisions, Lawrence Smith, British Museum Publications, Ltd., 1983, p. 83, plate 77 p. 96; The New Wave Twentieth-century Japanese prints from the Robert O. Muller Collection, Amy Reigle Stephens, Bamboo Publishing Ltd. & Hotei-Japanese Prints, 1993, p. 196, pl. 258; Modern Japanese Prints, Dorothy Blair, re-print of the 1931 and 1936 exhibition catalogues, The Toledo Museum of Art, 1997, figure 174; Hanga ni miru Tokyo no fukei; Kanto daishinsai kara senzen made, Ota Kuritsu Kyodo Hakubutsukan, 2002, pl. 229, p. 58.","Collections This Print Los Angeles County Museum of Art (M.73.37.347) (6mm “I” type seal visible lower left corner of image) and M.2000.105.29 (no seal discernable on image); University of Alberta Art Collection 2001.6.22 (unidentified edition); The British Museum 1946,0209,0.86 (with Watanabe D-type seal lower right margin); Museum of Fine Arts, Boston 49.1212 (with Watanabe E-type seal lower right margin); National Museum of Modern Art, Tokyo P00211-042 (unknown edition); Jordan Schnitzer Museum of Art MWJ51:K5 (G-type Watanabe publisher seal)",IHL.0006,IHL.6,IHL Catalog #6,,,,Image;StillImage,image/jpeg,ihl-0006.jpg,ihl-0006_th.jpg,ihl-0006_sm.jpg,ihl_artist_053,https://www.myjapanesehanga.com/home/artists/shiro-kasamatsu-1898-1991-/tea-ceremony.html,
ihl-0007,,,CN Complete,"Rain in Maekawa, Sōshū (相州前川の雨 Sōshū Maekawa no ame)","Rain in Maekawa, Sōshū (相州前川の雨 Sōshū Maekawa no ame)",Selection of Views of the Tokaido (東海道風景選集 Tokaido fūkei senshū),1932,1932,"1932 original publication date. This collection's print issued between 1989 and December 1999, the print's date of purcahse. It is a posthumous printing from original woodblocks with Watanabe's ""M-type"" Heisei seal  printed in red in the lower left margin indicating a printing after 1989.","Kawase Hasui 川瀬巴水
(1883-1957)",巴水 Hasui ,Kawase stylized seal,"Sōshū is present-day Kanagawa Prefecture. The array of traditional thatched-roof houses along the street, the shadows of large pine trees, a person walking with an umbrella, and the straight lines of rain produce a sense of tranquility as well as the nostalgia reminiscent of some work by Utagawa Hiroshige. According to Narazaki Muneshige, Hasui's biographer, this design is ""one of Hasui’s favourites.  …The rain is created through the use of the baren (pad used to apply colour during print).”",,"Watanabe Shōzaburō (Watanabe Mokuhan Bijutsu Gahō): Watanabe ""M-type"" seal (in use from approximately 1989-2019) reading わたなべ (Watanabe) [Marks: pub. ref. 576]",,,,,1932 original publication date,Impression excellent,Colors excellent,Condition excellent,Genre shin hanga,Format horizontal ōban,H x W Image 14 1/4 x 9 3/8 in. (36.2 x 23.8 cm),H x W Paper 15 1/2 x 10 3/8 in. (39.4 x 26.4 cm),"Reference Literature Kawase Hasui: The Complete Woodblock Prints, Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 85, pl. 223; Visions of Japan: Kawase Hasui's Masterpieces, Kendall H. Brown, Hotei Publishing, 2004, p. 83, pl. 47; Modern Japanese Prints: The Twentieth Century, Amanda T. Zehnder, Carnegie Museum of Art, 2009, p. 87","Collections This Print Los Angeles County Museum of Art M.2003.67.96 (“later edition” noted) also M.73.37.123 (with no edition notation);The National Museum of Modern Art, Tokyo P00138-1058 (no seal visible; titled (Maekawa, Saagami in Rain); Museum of Fine Arts, Boston 49.702 (red circular seal visible lower right corner.); Carnegie Museum of Art 89.28.173 (no seal visible on image and no edition noted); Honolulu Academy of Arts 26631 (no seal, likely original edition.)",IHL.0007,IHL.7,IHL Catalog #7,,,,Image;StillImage,image/jpeg,ihl-0007.jpg,ihl-0007_th.jpg,ihl-0007_sm.jpg,ihl_artist_059,https://www.myjapanesehanga.com/home/artists/kawase-hasui/rain-in-maekawa-soshun.html,
ihl-0008,  ,,CN Complete,Tea Ceremony (茶の湯 chanoyu),Tea Ceremony (茶の湯 chanoyu),,1954,1954,Originally published 1954 (Shōwa 29) 昭和廿九,Kasamatsu Shirō 笠松紫浪 (1898–1991),紫浪 Shirō ,紫浪 Shirō ,"The Japanese tea ceremony is called chanoyu or sado in Japanese and the bitter tea served is called matcha. It is basically a choreographic ritual of preparing and serving tea together with some sweets. Each movement is predefined. The whole process is not about drinking tea, it is about aesthetics. The proper performance requires a long training and the use of certain tools like chasen, a bamboo brush. This print is likely a first edition as indicated by the date  昭和 廿九 ( Shōwa 29) on the bottom of the left margin. For a later edition of this print see IHL Cat. #1178.",,Unsōdō Publishing with 東京芸艸堂 版 Tokyo Unsōdō han seal in left margin [Marks: pub. ref. 566; seal not shown],彫 長嶋 hori Nagashima (Nagashima Michio 長嶋道男),Printer 摺新味 suri Shinmi  (Shinmi Saburō 新味三朗),,,originally published 1954 (Shōwa 29) 昭和廿九,Impression excellent,Colors excellent,Condition excellent - minor toning and mat line,Genre shin hanga,Format vertical ōban,H x W Image 14 3/8 x 9 1/2 in. (36.5 x 24.1 cm),H x W Paper 16 x 10 3/4 in. (40.6 x 27.3 cm),"Reference Literature Catalogue Raisonné: U-114 as listed in Shiro Kasamatsu - The Complete Woodblock Prints, Dr. Andreas Gund, self-published by the author, 2001",,IHL.0008,IHL.8,IHL Catalog #8 and #1178,,,,Image;StillImage,image/jpeg,ihl-0008.jpg,ihl-0008_th.jpg,ihl-0008_sm.jpg,ihl_artist_053,https://www.myjapanesehanga.com/home/artists/shiro-kasamatsu-1898-1991-/tea-ceremony.html,
ihl-0009,cew added 20220302 -needs extra cleaning,,CN Complete,Ichikawa Yaozō III as Tanabe Bunzō (市川八百蔵の田辺文蔵)    ,Ichikawa Yaozō III as Tanabe Bunzō (市川八百蔵の田辺文蔵)    ,,1794-05,1940,"Originally published in 1794, this collection's print is a modern reproduction published by Adachi Hanga Kenkyūjo after 1940.",Tōshūsai Sharaku 東洲斎写楽 (active 1794-1795),東洲斎写楽画 Tōshūsai Sharaku ga , ,"This collection's print is a modern reproduction by the Adachi Print Institute. ""Sharaku’s skill as a portraitist lay in his ability to capture both the features and the mood of the actor in a simple, almost caricaturish, manner that conveys great emotive power. For instance, even without knowing the plot of the play, one might sense that this samurai is powerless, through his hunched shoulders, gently clasped hands inside his sleeves, slightly unkempt hair, and look of resignation. Ichikawa Yaozō III (1747–1818) played the role of a masterless samurai supporting the plot of two brothers to avenge their father in a performance of Flowering Irises: A Soga Vendetta for the Bunroku Era (Hana ayame: Bunroku Soga) that took place in the fifth month of 1794—the same production represented in the print nearby."" - The Metropolitan Museum of Art https://www.metmuseum.org/art/collection/search/835960", ,Adachi Hanga Kenkyūjo [Marks. pub. ref. 001] - from an edition of 300. Originally published by  Tsutaya Jūzaburō (Kōshodō), , ,,,,Impression excellent,Colors excellent,Condition excellent,"Genre - ukiyo-e, fukusei hanga",Format vertical ōban,H x W Image: 15 x 10 1/4 in. (38.1 x 26cm),H x W Paper: 15 x 10 1/4 in. (38.1 x 26cm), , ,IHL.0009,IHL.9,IHL Catalog #9,,,,Image;StillImage,image/jpeg,ihl-0009.jpg,ihl-0000_th.jpg,,ihl_artist_322,https://www.myjapanesehanga.com/home/in-queue---19th-century-woodblock-prints.html,
ihl-0010,cew added 20220302 -needs extra cleaning,,CN Complete,Onoe Matsusuke I as Matsushita Mikinoshin in the Play Katakiuchi noriyaibanashi (東洲斎写楽画 尾上松助の松下酒之進 敵討乗合話),Onoe Matsusuke I as Matsushita Mikinoshin in the Play Katakiuchi noriyaibanashi (東洲斎写楽画 尾上松助の松下酒之進 敵討乗合話),,1794-05,1940,"Originally published in 1794, this collection's print is a modern reproduction published by Adachi Hanga Kenkyūjo after 1940.",Tōshūsai Sharaku 東洲斎写楽 (active 1794-1795),東洲斎写楽画 Tōshūsai Sharaku ga , ,A modern reproduction published by Adachi Print Institute., ,Adachi Hanga Kenkyūjo [Marks. pub. ref. 001] - from an edition of 300. Originally published by  Tsutaya Jūzaburō (Kōshodō), , ,,,,Impression excellent,Colors excellent,Condition excellent,"Genre - ukiyo-e, fukusei hanga",Format vertical ōban,H x W Image: 15 3/8 x 10 1/8 in. (39.1 x 25.7 cm),H x W Paper: 15 3/8 x 10 1/8 in. (39.1 x 25.7 cm), , ,IHL.0010,IHL.10,IHL Catalog #10,,,,Image;StillImage,image/jpeg,ihl-0010.jpg,ihl-0010_th.jpg,ihl-0010_sm.jpg,ihl_artist_322,https://www.myjapanesehanga.com/home/in-queue---19th-century-woodblock-prints.html,
