objectid,artistid,publication_date_messy,date,catalog,catalog_2_orig_ref,description,page_header,title,series,creator,signature,seal,date_text,publisher,carver,printer,impression_quality,colors,condition,genre,misc,format_print,size_sheet,size_image,lit//ref lit,collections,location,latitude,longitude,image_small,image_thumb,filename,type,format,print_link
ihl-0001,, 1947 (original publication),1947,IHL.0001,IHL Catalog  #1,"Title  Snow at Hi Marsh, Mito 水戸 涸沼の雪 Mito hinuma no yuki"," Snow at Hi Marsh, Mito 水戸 涸沼の雪 Mito hinuma no yuki"," Snow at Hi Marsh, Mito 水戸 涸沼の雪 Mito hinuma no yuki",, Kawase Hasui (1883-1957),Hasui 巴水, Kawase (see above), 1947 (original publication)," Watanabe ShōzaburōWatanabe ""I""-type seal (in use from approximately 1957-present)reading (in Katakana): ワタナベ Watanabe Shōzaburō  Watanabe ""M""-type seal (in use from approximately 1989-present) reading (in  kana): わたなべ Watanabe",,,,Colors  excellent,Condition  excellent,Genre  shin-hanga (new prints),,Format  ōban tate-e,H x W Paper  10 1/2 x 15 1/2 in. (26.7 x 39.4 cm),H x W Image  9 1/2 x 14 1/4 in. (24.1 x 36.2 cm),"Reference Literature Catalogue Raisonné: Kawase Hasui; The Complete Woodblock Prints, Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 121, pl. 496; Kawase Hasui and His Contemporaries: The Shin Hanga (New Print) Movement in Landscape Art, Irwin J. Patcher, Everson Museum of Art, Syracuse, 1986, p. 75, pl. 94; Visions of Japan: Kawase Hasui's Masterpieces, Kendall H. Brown, Hotei Publishing, 2004, p. 121, pl. 85","Collections This Print  Los Angeles County Museum of Art M.73.37.240 (6mm seal lower right corner); The National Museum of Modern Art, Tokyo P00138-129 (6mm seal lower right corner; titled Lake Hinuma, Mito in Snow)",,,,ihl_0001_sm.jpg,ihl_0001_th.jpg,ihl_0001.jpg,Image;StillImage,image/jpeg,
ihl-0002,," January 1931 original date of publication as printed in left margin 昭和六年一月 作 a work of Shōwa 6, 1st month",1931,IHL.0002,IHL Catalog  #2,"Title  Honmon Temple, Ikegami  池上本門寺"," Honmon Temple, Ikegami  池上本門寺"," Honmon Temple, Ikegami  池上本門寺",, Kawase Hasui (1883-1957),Hasui 巴水, Kawase (see above)," January 1931 original date of publication as printed in left margin 昭和六年一月 作 a work of Shōwa 6, 1st month"," Watanabe ShōzaburōWatanabe ""I""-type seal (in use from approximately 1957-present)reading (in katakana): ワタナベ Watanabe Shōzaburō",,,Impression  excellent,Colors  excellent,Condition  excellent,Genre  shin hanga (new prints),,Format  ōban tate-e,H x W Paper  15 1/2 x 10 1/4 in. (39.4 x 26 cm),H x W Image  14 1/4 x 9 1/2 in. (36.2 x 24.1 cm),"Reference Literature Kawase Hasui:The Complete Woodblock Prints, (Catalogue Raisonné),Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 88, pl. 245; Visions of Japan: Kawase Hasui's Masterpieces, Kendall H. Brown, Hotei Publishing, 2004, p.78 pl. 42; Source: Public Spectacles, Four Centuries of Japanese Prints from a Cincinnati Collection Personal Pleasures, by Alan Hockley, Cincinnati Art Museum, 2006, p. 111, fig. 79.","Collections This Print   Los Angeles County Museum of Modern Art M73.37.103 (unidentified circular seal in lower left margin); The National Museum of Modern Art Tokyo P00138-073 (unidentified circular seal in lower left corner); Museum of Fine Arts, Boston 49.400 (type E seal); Jordan Schnitzer Museum of Art MWJ51:K11 (type E seal)",,,,ihl-0002_sm.jpg,ihl-0002_th.jpg,ihl-0002.jpg,Image;StillImage,image/jpeg,
ihl-0003,," 1932 original 昭和七年四月 作a work of Shōwa 7, 4th month",1932,IHL.0003,IHL Catalog  #3,Title  Night at Shinobazu Pond  夜の池畔（不忍池）Yoro no chihan (Shinobazunoike), Night at Shinobazu Pond  夜の池畔（不忍池）Yoro no chihan (Shinobazunoike), Night at Shinobazu Pond  夜の池畔（不忍池）Yoro no chihan (Shinobazunoike),, Kawase Hasui (1883-1957),Hasui 巴水, Kawase (see above)," 1932 original 昭和七年四月 作a work of Shōwa 7, 4th month", Doi Eiichi 土井貞一firm name: Doi Hangaten 土井版画店seal reading 版权所有 土井英一 (copyright Doi Eiichi)[Marks: pub. ref. 037; seal ref. 26-056], 彫 ハラダ hori Harada,Printer  摺 セキ suri Seki (see Carver above for seal) Seki worked for Doi from 1965 to 1995,Impression  excellent,Colors  excellent,Condition  excellent - penciled Japanese characters top margin,Genre  shin hanga (new prints),,Format  ōban tate-e,H x W Paper  9 1/2 x 14 1/4 in. (24.1 x 36.2 cm),H x W Image  11 x 15 3/4 in. (27.9 x 40 cm),"Reference Literature Catalogue Raisonné: Kawase Hasui; The Complete Woodblock Prints, Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 92, pl. 278; Hanga ni miru Tokyo no fukei; Kanto daishinsai kara senzen made, Ota Kuritsu Kyodo Hakubutsukan, 2002, pl. 209, p. 53.","Collections  Los Angeles County Museum of Art M.2003.67.97 (notation of ""later edition""); Museum of Fine Arts, Boston 35.1886 (first edition); Virginia Museum of Fine Arts 2006.551",,,,ihl-0003_sm.jpg,ihl-0003_th.jpg,ihl-0003.jpg,Image;StillImage,image/jpeg,
ihl-0004,, 1947,1947,IHL.0004,IHL Catalog  #4,Title  Evening Rain in Kawarago 河原子の夜雨 Kawarago no yau, Evening Rain in Kawarago 河原子の夜雨 Kawarago no yau, Evening Rain in Kawarago 河原子の夜雨 Kawarago no yau,, Kawase Hasui (1883-1957),Hasui 巴水, Kawase (see above), 1947," Watanabe ShōzaburōWatanabe ""A""-type seal (in use from approximately 1918-1924 and 1945-1957)reading (in Katakana): ワタナベ Watanabe Shōzaburō",,,,Colors  excellent,Condition  excellent - small scratch in boat image; five minor mounting remnants on verso,Genre  shin hanga (new prints),,Format  ōban tate-e,H x W Paper  15 x 10 3/8 in. (38.1 x 26.4 cm),H x W Image  13 7/8 x 9 5/8 in. (35.2 x 24.4 cm),"Reference Literature Catalogue Raisonné: Kawase Hasui: The Complete Woodblock Prints, Kendall Brown; Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, ISBN: 9074822460, p.122, pl. 504; Kawase Hasui and His Contemporaries: The Shin Hanga (New Print) Movement in Landscape Art, Irwin J. Patcher, Everson Museum of Art, Syracuse, 1986, p. 77, pl. 95; Visions of Japan: Kawase Hasui's Masterpieces, Kendall H. Brown, Hotei Publishing, 2004, p. 123, pl. 87","Collections This Print  Los Angeles County Museum of Modern Art M.73.37.234 (unspecified edition with no seal visible on print image); Museum of Fine Arts, Boston 50.2857 (unspecified edition with no seal visible on print image); The National Museum of Modern Art, Tokyo P00138-127 (unspecified edition with 6mm ""A"" type seal visible in lower right corner of print image.)",,,,ihl-0004_sm.jpg,ihl-0004_th.jpg,ihl-0004.jpg,Image;StillImage,image/jpeg,
ihl-0005,,1938 original [昭和十三年 as printed in left margin],1938,IHL.0005,IHL Catalog  #5,"Title  Supper Wagon (屋台店 Yataimise) [title on print is ""Supper Waggon"" (sic)]"," Supper Wagon (屋台店 Yataimise) [on print is ""Supper Waggon"" (sic)]"," Supper Wagon (屋台店 Yataimise) [on print is ""Supper Waggon"" (sic)]", Tokyo at Night (夜の東京 Yoru no Tokyo) - a ten print series, Yoshida Tōshi (1911-1995), Toshi Yoshida in English in bottom margin and 遠志 (Toshi) in lower right of image," 吉田 red ""Yoshida"" in lower right of image",1938 original [昭和十三年 as printed in left margin],  Yoshida family studio,,,Impression  excellent,Colors  excellent,Condition  excellent - mounted in archival mat and framed,Genre  shin-hanga (new prints),,Format  chuban,H x W Paper  7 1/2 x 10 1/2 in. (19.1 x 26.7 cm),H x W Image  6 5/8 x 9 3/8 in. (16.8 x 23.8 cm),"Reference Literature  Shin-Hanga: New Prints in Modern Japan, Kendall Brown, Hollis Goodall-Cristante, Los Angeles County Museum of Art, 1996, p. 84, figure 114; The Japanese Print Since 1900: Old dreams and New Visions, Lawrence Smith, British Museum Publications Ltd, 1983, p. 90, pl 84 and p. 106.","Collections This Print   Ruth and Sherman Lee Institute for Japanese Art 2003.109 (edition unknown); The British Museum 1981,0225,0.3.a (edition unknown); Los Angeles County Museum of Modern Art M.2000.105.103 (unspecified edition); Art Gallery of Greater Victoria 2008.021.005 (unspecified edition)",,,,ihl-0005_sm.jpg,ihl-0005_th.jpg,ihl-0005.jpg,Image;StillImage,image/jpeg,
ihl-0006,," originally published 1932, Spring",1932,IHL.0006,IHL Catalog  #6,Title  Hazy Evening at Shinobazu Pond 霞む夕べ−不忍池畔 Kasumu yūbe – Shinobazu chihan, Hazy Evening at Shinobazu Pond 霞む夕べ−不忍池畔 Kasumu yūbe – Shinobazu chihan, Hazy Evening at Shinobazu Pond 霞む夕べ−不忍池畔 Kasumu yūbe – Shinobazu chihan,, Kasamatsu Shirō (1898–1991), not signed,Shirō," originally published 1932, Spring",  Watanabe Shōzaburō,,,,Colors  excellent,Condition  excellent,Genre  shin hanga (new prints),,Format  ōban tate-e,H x W Paper  15 1/4 x 10 1/4 in. (38.7 x 26 cm),H x W Image  14 1/4 x 9 1/2 in. (36.2 x 23.8 cm),"Reference Literature Catalogue Raisonné: W-06 as listed in Shiro Kasamatsu - The Complete Woodblock Prints, Dr. Andreas Gund, self-published by the author, 2001, Tokyo; The Changing City as Depicted in Modern Woodblock Prints - Tokyo in Transition, Edo-Tokyo Museum, 1996, p. 86; The Japanese Print Since 1900: Old Dreams and New Nisions, Lawrence Smith, British Museum Publications, Ltd., 1983, p. 83, plate 77 p. 96; The New Wave Twentieth-century Japanese prints form the Robert O. Muller Collection, Amy Reigle Stephens, Bamboo Publishing Ltd. & Hotei-Japanese Prints, 1993, p. 196, pl. 258; Modern Japanese Prints, Dorothy Blair, re-print of the 1931 and 1936 exhibition catalogues, The Toledo Museum of Art, 1997, figure 174; Hanga ni miru Tokyo no fukei; Kanto daishinsai kara senzen made, Ota Kuritsu Kyodo Hakubutsukan, 2002, pl. 229, p. 58.","Collections This Print Los Angeles County Museum of Art (M.73.37.347) (6mm “I” type seal visible lower left corner of image) and M.2000.105.29 (no seal discernable on image); University of Alberta Art Collection 2001.6.22 (unidentified edition);The British Museum 1946,0209,0.86 (with Watanabe D-type seal lower right margin); Museum of Fine Arts, Boston 49.1212 (with Watanabe E-type seal lower right margin); National Museum of Modern Art, Tokyo P00211-042 (unknown edition); Jordan Schnitzer Museum of Art MWJ51:K5 (G-type Watanabe publisher seal)",,,,ihl-0006_sm.jpg,ihl-0006_th.jpg,ihl-0006.jpg,Image;StillImage,image/jpeg,
ihl-0007,, 1932 original publication date,1932,IHL.0007,IHL Catalog  #7,"Title  Rain in Maekawa, Sōshū 相州前川の雨 Sōshū Maekawa no ame"," Rain in Maekawa, Sōshū 相州前川の雨 Sōshū Maekawa no ame"," Rain in Maekawa, Sōshū 相州前川の雨 Sōshū Maekawa no ame", Selection of Views of the Tokaido  東海道風景選集 Tokaido fūkei senshū, Kawase Hasui (1883-1957),Hasui 巴水, Kawase (see above), 1932 original publication date," Watanabe ShōzaburōWatanabe ""M""-type seal (in use from approximately 1989-present) reading (in  kana): わたなべ Watanabe",,,,Colors  excellent,Condition  excellent,Genre  shin hanga (new prints),,Format  ōban tate-e,H x W Paper  15 1/2 x 10 3/8 in. (39.4 x 26.4 cm),H x W Image  14 1/4 x 9 3/8 in. (36.2 x 23.8 cm),"Reference Literature Catalogue Raisonné: Kawase Hasui; The Complete Woodblock Prints, Kendall Brown, Amy Reigle Newland, Hotei Publishing, KIT Publishers, 2003, p. 85, pl. 223; Visions of Japan: Kawase Hasui's Masterpieces, Kendall H. Brown, Hotei Publishing, 2004, p. 83, pl. 47; Modern Japanese Prints: The Twentieth Century, Amanda T. Zehnder, Carnegie Museum of Art, 2009, p. 87","Collections This Print  Los Angeles County Museum of Art M.2003.67.96 (“later edition” noted) also M.73.37.123 (with no edition notation); The National Museum of Modern Art, Tokyo P00138-1058 (no seal visible; titled (Maekawa, Saagami in Rain); Museum of Fine Arts, Boston 49.702 (red circular seal visible lower right corner.); Carnegie Museum of Art 89.28.173 (no seal visible on image and no edition noted); Honolulu Academy of Arts 26631 (no seal, likely original edition.)",,,,ihl-0007_sm.jpg,ihl-0007_th.jpg,ihl-0007.jpg,Image;StillImage,image/jpeg,
ihl-0008,, originally published 1954 (Shōwa 29) 昭和 廿九,1954,IHL.0008,IHL Catalog  #8 and #1178,Title  Tea Ceremony (茶の湯 chanoyu), Tea Ceremony (茶の湯 chanoyu), Tea Ceremony (茶の湯 chanoyu),, Kasamatsu Shirō (1898–1991), 紫浪 Shirō (left IHL Cat. #1178; right IHL Cat. #8), Shirō, originally published 1954 (Shōwa 29) 昭和 廿九, Unsōdō [Marks: pub. ref. 566; seal not shown]left - IHL Cat. #1178: 芸艸堂 版 Unsōdō hanright - IHL Cat. #8:  東京 芸艸堂 版 Tokyo Unsōdō han,left - IHL Cat. #1178: hori Nagashima 彫 長嶋(Nagashima Michio 長嶋道男)right - IHL Cat. #8: hori Nagashima 彫 長嶋(Nagashima Michio 長嶋道男),Printer left - IHL Cat. #1178: suri Takenaka 摺 竹中right - IHL Cat. #8: suri Shinmi 摺 新味 (Shinmi Saburō 新味三朗),Impression  IHL Cat. #8 - excellent IHL Cat. #1178 - excellent,Colors  IHL Cat. #8 - excellent IHL Cat. #1178 - excellent,Condition  IHL Cat. #8 - excellent - minor toning and mat line IHL Cat. #1178 - excellent,Genre  shin hanga (new prints),,Format  ōban tate-e,H x W Paper  IHL Cat. #8 and #1178: 16 x 10 3/4 in. (40.6 x 27.3 cm),H x W Image  IHL Cat. #8 and #1178: 14 3/8 x 9 1/2 in. (36.5 x 24.1 cm),"Reference Literature Catalogue Raisonné: U-114 as listed in Shiro Kasamatsu - The Complete Woodblock Prints, Dr. Andreas Gund, self-published by the author, 2001",,,,,ihl-0008_sm.jpg,ihl-0008_th.jpg,ihl-0008.jpg,Image;StillImage,image/jpeg,
ihl-0009,,,,IHL.0009,IHL Catalog #9,,,,,,,,,,,,,,,,,,,,,,,,,ihl-0009_sm.jpg,ihl-0009_th.jpg,ihl-0009.jpg,Image;StillImage,image/jpeg,
ihl-0010,,,,IHL.0010,IHL Catalog #10,,,,,,,,,,,,,,,,,,,,,,,,,ihl-0010_sm.jpg,ihl-0010_th.jpg,ihl-0010.jpg,Image;StillImage,image/jpeg,
ihl-0011,,,,IHL.0011,IHL Catalog #11,,,,,,,,,,,,,,,,,,,,,,,,,ihl-0011_sm.jpg,ihl-0011_th.jpg,ihl-0011.jpg,Image;StillImage,image/jpeg,
ihl-0012,, 1951 original publication date,1951,IHL.0012,IHL Catalog  #12,Title  In a Kyoto Sweets Shop  京のしるこ屋 Kyo no shiruko-ya, In a Kyoto Sweets Shop  京のしるこ屋 Kyo no shiruko-ya, In a Kyoto Sweets Shop  京のしるこ屋 Kyo no shiruko-ya,, Yoshida Tōshi (1911-1995)," Toshi Yoshida in English in bottom margin and ""Toshi"" in Japanese in lower right of image"," red ""Yoshida"" in lower right of image", 1951 original publication date,  Yoshida family studio,,,Impression  excellent,Colors  excellent,Condition  excellent,Genre  shin hanga (new prints),,Format  oban-tate,H x W Paper  15 3/4 x 10 7/8 in. (40.0 x 27.6 cm),H x W Image  14 3/4 x 9 5/8 in. (37.5 x 24.5 cm),Reference Literature,Collections This Print  Honolulu Museum of Art 25350,,,,ihl-0012_sm.jpg,ihl-0012_th.jpg,ihl-0012.jpg,Image;StillImage,image/jpeg,
ihl-0013,, originally issued 1926,1926,IHL.0013,IHL Catalog  #13,Title  Wild Geese (Gan), Wild Geese (Gan), Wild Geese (Gan),, Ohara Koson (1877 - 1945),Shōson 祥邨, Shōson 祥邨, originally issued 1926," Watanabe Shōzaburōワタナベ [Watanabe]Watanabe ""A-type"" 6mm round seal",,,,Colors  excellent,Condition  excellent - pin hole upper left margin,Genre  shin-hanga (new prints),,Format  oban-tate,H x W Paper  15 3/8 x 10 1/4 in. (39.1 x 26 cm),H x W Image  14 1/4 x 9 3/4 in. (36.2 x 24.8 cm),"Reference Literature Catalogue Raisonné: Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945, Amy Reigle Newland, Jan Perrée, Robert Schaap, Hotei Publishing, 2001,S-11.5 (cat. 149); Modern Japanese Prints, Dorothy Blair, re-print of the 1931 and 1936 exhibition catalogs, The Toledo Museum of Art, 1997, figure 180; Fresh Impressions: Early Modern Japanese Prints, Carol M. Putney, et. al., Toledo Museum of Art, 2014, Cat. 187, p. 219; Catalogue of Wood-Cut Colour Prints of S. Watanabe, 1936, p. 97, cat. O8 titled """"Wild-Geese flying over reeds""","Collections This Print  Los Angeles County Museum of Art M.2000.105.102 (no edition noted); Art Gallery of New South Wales 28.2009 (likely first edition); Rijksmuseum RP-P-1999-490 (seal type D); Toledo Museum of Art 1930, no. 180 (Watanabe type-B seal)",,,,ihl-0013_sm.jpg,ihl-0013_th.jpg,ihl-0013.jpg,Image;StillImage,image/jpeg,
ihl-0014,,"Publishing Date  unknown, but likely 1921/1939 based upon ""MADE IN JAPAN"" stamp verso",1921,IHL.0014,IHL Catalog  #14,Title  Swallow and Wisteria, Swallow and Wisteria, Swallow and Wisteria,, Ohara Koson (1877 - 1945),Koson 古邨, Koson 古邨 in script (see above),"Publishing Date  unknown, but likely 1921/1939 based upon ""MADE IN JAPAN"" stamp verso","  no listed in Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945 but possibly Daikokuya",,,,Colors  fair,Condition  fair - overall fading due to bleaching of print to remove heavy toning; paper thinning; tape remnants verso; wrinkling; pencil writing verso,Genre  shin-hanga (new prints),,Format  shikishiban,H x W Paper  10 7/8 x 11 1/4 in. (27.6 x 28.6 cm),H x W Image  9 1/2 x 9 3/4 in. (24.1 x 24.8 cm),"Reference Literature Catalogue Raisonné: Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945, Amy Reigle Newland, Jan Perrée, Robert Schaap, Hotei Publishing, 2003, p. 191, K28.6.",,,,,ihl-0014_sm.jpg,ihl-0014_th.jpg,ihl-0014.jpg,Image;StillImage,image/jpeg,
ihl-0015,, originally issued 1926,1926,IHL.0015,IHL Catalog  #15,Title  Herons in Reeds (Ashi ni Sagi), Herons in Reeds (Ashi ni Sagi), Herons in Reeds (Ashi ni Sagi),, Ohara Koson (1877 - 1945),Shōson 祥邨," Shōson 祥邨, in script (see above)", originally issued 1926," Watanabe Shōzaburōワタナベ [Watanabe]Watanabe ""A-type"" 6mm round seal",,,,Colors  excellent,Condition  excellent,Genre  shin-hanga (new prints),,Format  oban-tate,H x W Paper  15 1/2 x 10 1/4 in. (38.7 x 26 cm),H x W Image  14 1/4 x 9 1/2 in. (36.2 x 24.1 cm),"Reference Literature Catalogue Raisonné: Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945, Amy Reigle Newland, Jan Perrée, Robert Schaap, Hotei Publishing, 2001, S14.4 (cat. 155); Printed to Perfection - Twentieth-century Japanese Prints from the Robert O. Muller Collection, Mervis, Newland, et. al., Hotei Publishing, 2004, p. 55, pl. 30; Modern Japanese Prints, Dorothy Blair, re-print of the 1931 and 1936 exhibition catalogs, The Toledo Museum of Art, 1997, figure 174; Fresh Impressions: Early Modern Japanese Prints, Carol M. Putney, et. al., Toledo Museum of Art, 2014, Cat. 181, p. 214; Catalogue of Wood-Cut Colour Prints of S. Watanabe, 1936, p. 97, cat. O2 titled ""Herons and Reeds (under the Crescent)""","Collections This Print  Los Angeles County Museum of Art M.71.100.129 (no edition noted) and M.2000.105.145 (no edition noted); Smithsonian Institution Arthur M. Sackler Gallery S2003.8.2046 (first edition with Watanabe type-B seal); Toledo Museum of Art 1930, no. 174 (Watanabe type-B seal)",,,,ihl-0015_sm.jpg,ihl-0015_th.jpg,ihl-0015.jpg,Image;StillImage,image/jpeg,
ihl-0016,, 1921/1939,1921,IHL.0016,IHL Catalog  #16,"Title  Pheasant 雉 (titled as ""Colourful pheasant looking to the right"" in Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945)"," Pheasant 雉 (titled as ""Colourful pheasant looking to the right"" in Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945)"," Pheasant 雉 (titled as ""Colourful pheasant looking to the right"" in Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945)",, Ohara Koson (1877 - 1945),Koson 古邨, Koson 古邨 in script (see above), 1921/1939,  Daikokuya (Matsuki Heikichi),,,,Colors  excellent,Condition  good - toning on top and bottom on verso and top and side edge of front.  Wrinkling on top left margin.,Genre  shin-hanga (new prints),,Format  shikishiban,H x W Paper  10 3/4 x 11 1/4 in. (27.3 x 28.6 cm),H x W Image  9 1/4 x 9 3/4 in. (23.5 x 24.8 cm),"Reference Literature Catalogue Raisonné: Crows, Cranes & Camellias: The Natural World of Ohara Koson 1877-1945, Amy Reigle Newland, Jan Perrée, Robert Schaap, Hotei Publishing, 2003, K21.6",,,,,ihl-0016_sm.jpg,ihl-0016_th.jpg,ihl-0016.jpg,Image;StillImage,image/jpeg,
